,Id,Open Date,City,City Group,Type,revenue,f0,f1,f2,f3,f4,pstd
0,0,07/17/1999,İstanbul,Big Cities,IL,5653753.0,3.4285714285714284,4.833333333333333,4,2.3333333333333335,3,0.9542244063568442
1,1,02/14/2008,Ankara,Big Cities,FC,6923131.0,3.5714285714285716,5.0,2,0.0,0,1.5005667863417838
2,2,03/09/2013,Diyarbakır,Other,IL,2055379.0,2.857142857142857,5.0,1,0.0,0,2.0016999578079706
3,3,02/02/2012,Tokat,Other,IL,2675511.0,5.214285714285714,9.25,14,3.7777777777777777,13,4.545712778115629
4,4,05/09/2009,Gaziantep,Other,IL,4316715.0,2.857142857142857,5.0,1,2.4444444444444446,3,1.434529023679298
5,5,02/12/2010,Ankara,Big Cities,FC,5017319.0,6.642857142857143,8.0,5,0.0,0,1.5022658623187954
6,6,10/11/2010,İstanbul,Big Cities,IL,5166635.0,3.142857142857143,5.0,2,3.7777777777777777,3,1.1053934520339102
7,7,06/21/2011,İstanbul,Big Cities,IL,4491607.0,3.7142857142857144,4.0,3,0.0,0,0.5150787536377128
8,8,08/28/2010,Afyonkarahisar,Other,IL,4952497.0,2.4285714285714284,4.333333333333333,1,2.7777777777777777,4,1.3333522296469003
9,9,11/16/2011,Edirne,Other,IL,5444227.0,5.071428571428571,9.583333333333334,12,0.0,0,3.5166903095356803
10,10,08/09/2013,Kocaeli,Other,FC,3745135.0,6.214285714285714,9.25,20,0.0,0,7.243663663182196
11,11,05/22/2012,İstanbul,Big Cities,IL,5161370.0,3.5714285714285716,5.0,3,2.7777777777777777,4,0.8849402090510786
12,12,02/28/2013,Ankara,Big Cities,IL,1734634.0,2.4285714285714284,4.833333333333333,3,0.0,0,1.2563519638189324
13,13,10/16/2010,İstanbul,Big Cities,FC,4807746.0,3.7142857142857144,5.0,2,0.0,0,1.505093393264677
14,14,12/29/2011,Bursa,Other,FC,1999097.0,2.7142857142857144,5.0,2,0.0,0,1.567093587800412
15,15,02/07/2012,İstanbul,Big Cities,IL,3218918.0,8.071428571428571,9.583333333333334,8,5.611111111111111,12,2.349768674654812
16,16,01/07/2000,İstanbul,Big Cities,FC,19696939.0,3.5714285714285716,4.5,2,0.0,0,1.2637004294967236
17,17,11/08/2009,İstanbul,Big Cities,FC,8213524.0,2.857142857142857,4.833333333333333,1,0.0,0,1.9169747361605607
18,18,04/21/2012,İzmir,Big Cities,IL,5337526.0,3.2857142857142856,5.0,3,3.0,3,0.8713114675415371
19,19,08/16/2011,Sakarya,Other,IL,2021934.0,3.0,4.166666666666667,1,0.0,0,1.601503922822175
20,20,08/25/2010,Elazığ,Other,IL,5525735.0,3.0,4.833333333333333,5,3.3333333333333335,3,1.0000000000000018
21,21,01/25/2014,İstanbul,Big Cities,FC,1149870.0,3.4285714285714284,4.0,3,0.0,0,0.501697797754892
22,22,07/01/2006,Kayseri,Other,FC,3956086.0,6.857142857142857,9.583333333333334,12,0.0,0,2.5729804987629343
