,Id,Open Date,City,City Group,Type,revenue,pca0,pca1,pca2
0,0,07/17/1999,İstanbul,Big Cities,IL,5653753.0,3.459679404525745,-3.8455045077245,1.3540290637600347
1,1,02/14/2008,Ankara,Big Cities,FC,6923131.0,-8.26381480608903,0.5303569551210018,-1.0555711377525394
2,2,03/09/2013,Diyarbakır,Other,IL,2055379.0,-9.614929749068605,-1.9426535544640877,-1.4753261244400422
3,3,02/02/2012,Tokat,Other,IL,2675511.0,38.80930545826558,2.0710674330968337,2.669117433494702
4,4,05/09/2009,Gaziantep,Other,IL,4316715.0,0.4343900054869518,-6.829238049232574,-0.22988490258072222
5,5,02/12/2010,Ankara,Big Cities,FC,5017319.0,-2.000526575762399,10.21406161993704,-6.345792818434435
6,6,10/11/2010,İstanbul,Big Cities,IL,5166635.0,3.5738352836786684,-8.298238261172724,-0.33225718612727406
7,7,06/21/2011,İstanbul,Big Cities,IL,4491607.0,-7.7328204662203675,1.3576235615026342,1.1619957146225612
8,8,08/28/2010,Afyonkarahisar,Other,IL,4952497.0,1.4883592503218583,-10.42291592499017,0.40434872463544724
9,9,11/16/2011,Edirne,Other,IL,5444227.0,2.598658837558271,21.111530883319446,-1.8940041008282336
10,10,08/09/2013,Kocaeli,Other,FC,3745135.0,9.29685733187779,31.78712431794225,5.7054560647715284
11,11,05/22/2012,İstanbul,Big Cities,IL,5161370.0,4.3519755934437026,-6.38594483572175,-0.18602434735279766
12,12,02/28/2013,Ankara,Big Cities,IL,1734634.0,-8.570219607131312,0.05218994981048807,0.6303535405898778
13,13,10/16/2010,İstanbul,Big Cities,FC,4807746.0,-7.9399751265845415,0.8295789956897881,-1.6534424170340254
14,14,12/29/2011,Bursa,Other,FC,1999097.0,-8.561120202866503,0.024713377407156633,-0.09582267397424954
15,15,02/07/2012,İstanbul,Big Cities,IL,3218918.0,34.41552545741085,-4.006300060765482,-11.879464093059497
17,17,11/08/2009,İstanbul,Big Cities,FC,8213524.0,-9.682887572334174,-1.9957469866226498,-0.4822877897633216
18,18,04/21/2012,İzmir,Big Cities,IL,5337526.0,3.9345284885195873,-5.265154599500949,0.28919451808729074
19,19,08/16/2011,Sakarya,Other,IL,2021934.0,-9.765622575763262,-1.9034474411661573,-0.10965352467285093
20,20,08/25/2010,Elazığ,Other,IL,5525735.0,4.986653945382583,-4.247110389450786,3.205104336221036
21,21,01/25/2014,İstanbul,Big Cities,FC,1149870.0,-7.849671402807911,1.338332221939216,1.0602355097312937
22,22,07/01/2006,Kayseri,Other,FC,3956086.0,3.04499609436801,19.515488572390186,-5.961136705639502
23,23,06/03/2009,Sakarya,Other,FC,2999068.0,-9.376342691161199,-1.280425330603038,0.9188023603207454
24,24,09/20/2009,İstanbul,Big Cities,IL,8904084.0,6.1900477915269985,-4.848418004549503,1.9220773225871592
25,25,12/23/2011,Eskişehir,Other,FC,3778621.0,-8.594528874766713,-0.020462783016761268,-1.4021661599210624
26,26,02/23/2010,Ankara,Big Cities,IL,2267425.0,3.916601537206892,-3.7920586856977825,2.381129755361486
27,27,10/09/1999,Bursa,Other,FC,5435276.0,-6.137381795721807,4.316570586480616,2.8780224207083576
